Sample	T842.0	C842.0	T1002.0	C1002.0	T1013.0	C1013.0	T1031.0	C1031.0	T1461.0	C1461.0
#38-1	218.930862	184.885941	40.280934	44.990465	72.584056	50.512027	1242.459722	1709.144225	196.72371	163.441485
#38-10	217.999139	215.158384	40.366551	54.296553	84.606151	73.148738	368.960446	650.242673	152.025721	181.538097
#38-11	248.007458	228.024137	46.140183	38.209141	83.590243	77.850046	713.397594	569.265651	177.719371	163.688781
#38-12	339.380496	387.392126	196.080223	254.676738	285.676478	223.134725	449.571462	976.920287	182.732866	247.752927
#38-13	252.429526	296.279567	106.237154	97.847695	205.087254	253.858846	614.156039	829.355249	246.113811	260.438182
#38-14	337.069892	364.987667	191.662266	212.994381	293.092049	240.461889	868.035258	920.86794	236.883992	175.81553
#38-15	258.076825	220.696037	39.515349	45.40803	84.346201	140.398102	578.343453	745.476257	144.871435	124.295589
#38-16	213.894399	269.637941	75.644708	135.514261	186.183858	267.823381	411.890623	471.682649	105.707254	124.819427
#38-17	239.30068	229.291259	33.947387	55.048342	68.537317	110.566144	204.621	961.320943	187.631586	166.909915
#38-18	250.891148	246.083524	22.662732	24.435441	42.07362	72.642879	843.4551	717.99653	180.257377	166.703236
#38-19	214.850685	164.326529	37.237411	84.692335	194.984654	213.410065	1016.186952	651.777441	225.046313	254.524384
#38-2	217.45812	205.612395	35.698236	55.216032	71.427025	55.101113	1295.647558	1921.113188	175.438036	173.405922
#38-20	328.891241	283.047029	83.008748	138.350187	194.84302	200.654713	831.705234	822.664959	218.836271	219.468764
#38-21	465.480564	452.60542	1582.163681	1581.578906	127.791527	113.633483	741.782814	664.465266	160.033875	157.732036
#38-22	426.178538	1090.767822	1114.164695	4326.978297	99.166168	266.25103	631.386245	1532.795895	192.538345	140.79205
#38-23	527.467531	623.614775	1636.265577	1902.143062	114.827786	164.637137	658.267942	1063.41668	152.015378	116.10307
#38-24	676.423318	838.34299	1511.645774	3470.844481	431.572743	386.428685	967.503814	1415.672239	250.341143	145.771303
#38-25	634.894786	613.871041	699.522755	757.084419	554.970426	497.107105	690.530557	615.006101	343.796206	310.335714
#38-26	311.710201	308.435417	492.454738	601.744652	162.657438	133.774421	494.894853	612.140281	155.970816	150.611957
#38-27	458.022036	446.467093	157.101496	186.531203	278.144932	269.588693	849.455438	1051.232811	191.87434	247.987091
#38-28	366.997912	441.368666	878.949425	1383.902225	63.123762	106.364685	433.730572	892.854899	151.420175	137.303106
#38-29	379.629201	379.629201	837.854074	837.854074	66.174728	66.174728	481.74737	481.74737	157.014459	157.014459
#38-3	264.40207	216.989191	26.865484	34.616287	80.86447	62.773969	428.037177	684.996037	147.279929	127.049372
#38-30	489.689933	489.689933	1332.723661	1332.723661	117.550623	117.550623	607.076933	607.076933	143.909076	143.909076
#38-4	233.348289	204.365101	61.196259	57.791947	92.356029	122.397767	553.406419	913.432295	192.715534	185.740734
#38-5	383.124345	381.371559	166.585419	133.096686	250.116426	242.609158	450.473369	859.304624	229.794978	250.197569
#38-6	282.521447	270.803092	66.78068	97.179846	176.712007	157.255268	586.894671	837.732281	209.136801	206.309392
#38-7	222.914342	352.355242	121.770653	124.983194	135.338512	208.783902	143.838982	1075.107283	130.032697	242.112049
#38-8	229.754935	187.527098	48.908507	29.548527	49.041415	29.287821	1081.649792	716.931752	175.932948	150.345777
#38-9	245.19523	256.984605	59.05547	75.521176	114.782329	104.256569	781.557521	797.099968	149.111569	157.762265
