gene_id	C2-cTAL30-1.genes.results	U2-CCD30-2.genes.results	U4-CCD30-1.genes.results	C1-CCD30-1.genes.results	U1-cTAL30-1.genes.results
ENSRNOG00000062121_AABR07020663.2	0.39	0.00	0.42	1.00	0.13
ENSRNOG00000051891_LOC100912564	4.18	6.24	1.92	8.31	3.36
ENSRNOG00000029233_Olr30	0.00	0.00	0.00	0.44	0.00
ENSRNOG00000050968_Ptger2	0.20	0.04	0.07	0.00	0.07
ENSRNOG00000033694_Klf16	0.47	0.54	1.03	0.86	0.62
ENSRNOG00000008516_AABR07049516.1	0.47	0.00	0.00	0.00	0.00
ENSRNOG00000060132_LOC102551575	0.73	0.00	0.00	0.32	0.30
ENSRNOG00000008800_Olr1621	0.00	0.10	0.00	0.00	0.17
ENSRNOG00000053068_AABR07062544.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000049142_Hdgfl2	23.26	3.92	26.24	13.17	19.66
ENSRNOG00000000922_Sumf2	34.44	16.91	35.94	29.86	31.81
ENSRNOG00000046999_Olr159	0.00	0.10	0.00	0.00	0.00
ENSRNOG00000054371_Prkcg	0.38	0.00	0.19	0.31	0.48
ENSRNOG00000052088_AABR07029768.1	0.33	2.42	0.00	0.00	0.00
ENSRNOG00000000161_Chm	7.31	2.87	7.96	6.80	10.30
ENSRNOG00000027728_Ibtk	8.42	1.29	8.87	7.58	5.82
ENSRNOG00000057995_LOC102556051	0.22	0.00	0.00	0.00	0.73
ENSRNOG00000018886_Prxl2c	1.73	0.57	3.95	5.41	0.79
ENSRNOG00000059766_Mir201	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056371_Pik3ca	4.17	8.16	3.63	4.33	4.94
ENSRNOG00000004870_Dyrk3	0.26	0.07	0.64	2.25	0.16
ENSRNOG00000061612_Zfp184	3.24	6.49	8.67	6.47	4.00
ENSRNOG00000053620_AABR07051069.1	0.00	0.10	0.00	0.00	0.00
ENSRNOG00000015844_Snrpd2	49.30	207.87	63.35	65.18	52.15
ENSRNOG00000014483_Ino80	0.93	0.49	0.95	2.55	1.47
ENSRNOG00000007894_Mpdz	2.48	0.50	0.87	0.92	1.71
ENSRNOG00000013078_Zcchc7	12.46	12.21	22.98	18.46	11.12
ENSRNOG00000054184_U2	0.00	48.19	8.14	9.19	0.00
ENSRNOG00000004453_AABR07057250.1	0.00	0.37	0.00	0.42	0.00
ENSRNOG00000050219_AABR07003935.11	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054115_SNORA70	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061587_Metap1d	2.99	2.93	3.15	4.01	2.79
ENSRNOG00000056129_LOC102554659	0.15	0.00	0.08	0.00	0.00
ENSRNOG00000061745_7SK	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061108_Arcn1	106.56	25.80	119.28	92.49	91.32
ENSRNOG00000056902_AABR07054119.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016659_Habp2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051776_AABR07053412.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007509_Slc1a6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000031927_Klk6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020321_Nop9	1.05	2.15	6.05	10.86	1.41
ENSRNOG00000049147_AABR07067099.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000036504_AABR07064349.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061674_AABR07006763.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000013532_Pgam2	1.02	48.24	88.29	49.17	1.49
ENSRNOG00000027606_Neurl1b	0.00	0.00	0.09	0.10	0.04
ENSRNOG00000058471_AABR07014897.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000023410_Apol9a	1.46	0.25	1.64	0.78	2.64
ENSRNOG00000004262_LOC102546716	1.86	1.18	3.07	4.89	0.89
ENSRNOG00000038905_AABR07048397.1	2.67	2.81	9.54	2.63	5.84
ENSRNOG00000003622_Cybb	7.54	0.50	2.89	1.64	16.59
ENSRNOG00000018952_Sema3g	0.08	0.00	0.02	0.00	0.00
ENSRNOG00000012812_Sharpin	37.31	33.27	43.70	60.96	24.48
ENSRNOG00000053053_AABR07032759.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051846_U7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000005107_Recql5	4.29	1.95	4.94	3.46	4.19
ENSRNOG00000043344_Cyp4f40	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052213_AABR07063940.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000012419_Zscan29	1.60	0.55	0.41	0.67	1.37
ENSRNOG00000062261_AC111804.2	0.00	1.58	0.00	0.00	0.00
ENSRNOG00000018271_Scamp4	68.12	33.04	86.10	79.90	52.15
ENSRNOG00000059920_AC135285.3	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051421_AABR07031604.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000046769_Mms19	10.33	1.79	11.98	10.37	10.46
ENSRNOG00000020982_LOC687780	305.57	994.38	348.28	341.35	319.30
ENSRNOG00000012962_Nudt16	10.26	20.58	38.42	35.41	6.23
ENSRNOG00000051161_AABR07039195.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000058787_AABR07017649.2	0.10	1.16	0.02	0.36	0.00
ENSRNOG00000058628_Vom1r96	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016379_Jtb	79.45	94.22	103.09	96.79	82.43
ENSRNOG00000042355_Tarbp2	32.07	26.42	33.20	34.93	25.15
ENSRNOG00000051417_AABR07031612.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000012378_Dbnl	45.72	11.17	47.86	34.39	37.13
ENSRNOG00000031208_Mgat1	13.53	7.62	23.94	23.41	15.54
ENSRNOG00000010552_Lamtor3	91.03	137.51	95.96	81.29	77.71
ENSRNOG00000048858_Olr1387	0.00	1.37	0.00	0.33	0.00
ENSRNOG00000059509_AC113837.7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000023226_S100a10	446.10	821.14	328.57	263.30	416.28
ENSRNOG00000023633_Crabp1	4.94	1.89	0.14	0.61	1.59
ENSRNOG00000062077_AABR07049773.1	7.89	0.00	12.40	0.00	0.00
ENSRNOG00000030954_Fat1	2.62	1.47	2.06	2.64	3.18
ENSRNOG00000007084_Marchf10	0.08	0.97	0.45	0.38	0.00
ENSRNOG00000057129_AABR07049033.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056377_SNORD42	0.00	0.00	0.00	0.00	0.00
