gene_id	C2-cTAL30-1.genes.results	U2-CCD30-2.genes.results	U4-CCD30-1.genes.results	C1-CCD30-1.genes.results	U1-cTAL30-1.genes.results
ENSRNOG00000062121_AABR07020663.2	0.35	0.00	0.38	0.94	0.11
ENSRNOG00000051891_LOC100912564	3.71	3.92	1.73	7.81	2.92
ENSRNOG00000029233_Olr30	0.00	0.00	0.00	0.42	0.00
ENSRNOG00000050968_Ptger2	0.18	0.02	0.07	0.00	0.06
ENSRNOG00000033694_Klf16	0.42	0.34	0.92	0.81	0.54
ENSRNOG00000008516_AABR07049516.1	0.42	0.00	0.00	0.00	0.00
ENSRNOG00000060132_LOC102551575	0.65	0.00	0.00	0.30	0.26
ENSRNOG00000008800_Olr1621	0.00	0.06	0.00	0.00	0.15
ENSRNOG00000053068_AABR07062544.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000049142_Hdgfl2	20.63	2.46	23.59	12.38	17.09
ENSRNOG00000000922_Sumf2	30.54	10.62	32.32	28.07	27.65
ENSRNOG00000046999_Olr159	0.00	0.06	0.00	0.00	0.00
ENSRNOG00000054371_Prkcg	0.34	0.00	0.17	0.29	0.42
ENSRNOG00000052088_AABR07029768.1	0.29	1.52	0.00	0.00	0.00
ENSRNOG00000000161_Chm	6.48	1.80	7.16	6.39	8.95
ENSRNOG00000027728_Ibtk	7.47	0.81	7.98	7.13	5.06
ENSRNOG00000057995_LOC102556051	0.20	0.00	0.00	0.00	0.64
ENSRNOG00000018886_Prxl2c	1.53	0.36	3.55	5.08	0.68
ENSRNOG00000059766_Mir201	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056371_Pik3ca	3.70	5.12	3.26	4.07	4.29
ENSRNOG00000004870_Dyrk3	0.23	0.05	0.57	2.12	0.14
ENSRNOG00000061612_Zfp184	2.88	4.08	7.79	6.08	3.48
ENSRNOG00000053620_AABR07051069.1	0.00	0.06	0.00	0.00	0.00
ENSRNOG00000015844_Snrpd2	43.72	130.58	56.97	61.26	45.35
ENSRNOG00000014483_Ino80	0.82	0.31	0.86	2.40	1.28
ENSRNOG00000007894_Mpdz	2.20	0.31	0.78	0.87	1.48
ENSRNOG00000013078_Zcchc7	11.05	7.67	20.67	17.35	9.67
ENSRNOG00000054184_U2	0.00	30.27	7.32	8.64	0.00
ENSRNOG00000004453_AABR07057250.1	0.00	0.23	0.00	0.39	0.00
ENSRNOG00000050219_AABR07003935.11	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054115_SNORA70	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061587_Metap1d	2.65	1.84	2.83	3.77	2.42
ENSRNOG00000056129_LOC102554659	0.14	0.00	0.07	0.00	0.00
ENSRNOG00000061745_7SK	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061108_Arcn1	94.49	16.21	107.26	86.94	79.40
ENSRNOG00000056902_AABR07054119.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016659_Habp2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051776_AABR07053412.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007509_Slc1a6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000031927_Klk6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020321_Nop9	0.93	1.35	5.44	10.21	1.23
ENSRNOG00000049147_AABR07067099.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000036504_AABR07064349.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061674_AABR07006763.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000013532_Pgam2	0.90	30.30	79.39	46.22	1.29
ENSRNOG00000027606_Neurl1b	0.00	0.00	0.08	0.10	0.04
ENSRNOG00000058471_AABR07014897.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000023410_Apol9a	1.30	0.16	1.47	0.73	2.29
ENSRNOG00000004262_LOC102546716	1.65	0.74	2.76	4.59	0.77
ENSRNOG00000038905_AABR07048397.1	2.37	1.76	8.58	2.47	5.08
ENSRNOG00000003622_Cybb	6.69	0.32	2.60	1.55	14.42
ENSRNOG00000018952_Sema3g	0.07	0.00	0.02	0.00	0.00
ENSRNOG00000012812_Sharpin	33.09	20.90	39.30	57.30	21.29
ENSRNOG00000053053_AABR07032759.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051846_U7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000005107_Recql5	3.81	1.23	4.44	3.25	3.65
ENSRNOG00000043344_Cyp4f40	0.00	0.00	0.00	0.00	0.00
