gene_id	U4-CCD30-1	U2-CCD30-2	U1-cTAL30-1	C2-cTAL30-1	C1-CCD30-1
ENSRNOG00000062121_AABR07020663.2	0.38	0.00	0.11	0.35	0.94
ENSRNOG00000051891_LOC100912564	1.73	3.92	2.92	3.71	7.81
ENSRNOG00000029233_Olr30	0.00	0.00	0.00	0.00	0.42
ENSRNOG00000050968_Ptger2	0.07	0.02	0.06	0.18	0.00
ENSRNOG00000033694_Klf16	0.92	0.34	0.54	0.42	0.81
ENSRNOG00000008516_AABR07049516.1	0.00	0.00	0.00	0.42	0.00
ENSRNOG00000060132_LOC102551575	0.00	0.00	0.26	0.65	0.30
ENSRNOG00000008800_Olr1621	0.00	0.06	0.15	0.00	0.00
ENSRNOG00000053068_AABR07062544.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000049142_Hdgfl2	23.59	2.46	17.09	20.63	12.38
ENSRNOG00000000922_Sumf2	32.32	10.62	27.65	30.54	28.07
ENSRNOG00000046999_Olr159	0.00	0.06	0.00	0.00	0.00
ENSRNOG00000054371_Prkcg	0.17	0.00	0.42	0.34	0.29
ENSRNOG00000052088_AABR07029768.1	0.00	1.52	0.00	0.29	0.00
ENSRNOG00000000161_Chm	7.16	1.80	8.95	6.48	6.39
ENSRNOG00000027728_Ibtk	7.98	0.81	5.06	7.47	7.13
ENSRNOG00000057995_LOC102556051	0.00	0.00	0.64	0.20	0.00
ENSRNOG00000018886_Prxl2c	3.55	0.36	0.68	1.53	5.08
ENSRNOG00000059766_Mir201	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056371_Pik3ca	3.26	5.12	4.29	3.70	4.07
ENSRNOG00000004870_Dyrk3	0.57	0.05	0.14	0.23	2.12
ENSRNOG00000061612_Zfp184	7.79	4.08	3.48	2.88	6.08
ENSRNOG00000053620_AABR07051069.1	0.00	0.06	0.00	0.00	0.00
ENSRNOG00000015844_Snrpd2	56.97	130.58	45.35	43.72	61.26
ENSRNOG00000014483_Ino80	0.86	0.31	1.28	0.82	2.40
ENSRNOG00000007894_Mpdz	0.78	0.31	1.48	2.20	0.87
ENSRNOG00000013078_Zcchc7	20.67	7.67	9.67	11.05	17.35
ENSRNOG00000054184_U2	7.32	30.27	0.00	0.00	8.64
ENSRNOG00000004453_AABR07057250.1	0.00	0.23	0.00	0.00	0.39
ENSRNOG00000050219_AABR07003935.11	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054115_SNORA70	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061587_Metap1d	2.83	1.84	2.42	2.65	3.77
ENSRNOG00000056129_LOC102554659	0.07	0.00	0.00	0.14	0.00
ENSRNOG00000061745_7SK	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061108_Arcn1	107.26	16.21	79.40	94.49	86.94
ENSRNOG00000056902_AABR07054119.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016659_Habp2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051776_AABR07053412.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007509_Slc1a6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000031927_Klk6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020321_Nop9	5.44	1.35	1.23	0.93	10.21
ENSRNOG00000049147_AABR07067099.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000036504_AABR07064349.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061674_AABR07006763.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000013532_Pgam2	79.39	30.30	1.29	0.90	46.22
ENSRNOG00000027606_Neurl1b	0.08	0.00	0.04	0.00	0.10
ENSRNOG00000058471_AABR07014897.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000023410_Apol9a	1.47	0.16	2.29	1.30	0.73
ENSRNOG00000004262_LOC102546716	2.76	0.74	0.77	1.65	4.59
ENSRNOG00000038905_AABR07048397.1	8.58	1.76	5.08	2.37	2.47
ENSRNOG00000003622_Cybb	2.60	0.32	14.42	6.69	1.55
ENSRNOG00000018952_Sema3g	0.02	0.00	0.00	0.07	0.00
ENSRNOG00000012812_Sharpin	39.30	20.90	21.29	33.09	57.30
ENSRNOG00000053053_AABR07032759.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051846_U7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000005107_Recql5	4.44	1.23	3.65	3.81	3.25
ENSRNOG00000043344_Cyp4f40	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052213_AABR07063940.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000012419_Zscan29	0.37	0.35	1.19	1.42	0.63
ENSRNOG00000062261_AC111804.2	0.00	0.99	0.00	0.00	0.00
ENSRNOG00000018271_Scamp4	77.42	20.75	45.34	60.41	75.10
ENSRNOG00000059920_AC135285.3	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051421_AABR07031604.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000046769_Mms19	10.77	1.13	9.09	9.16	9.74
ENSRNOG00000020982_LOC687780	313.19	624.65	277.63	270.97	320.83
ENSRNOG00000012962_Nudt16	34.54	12.93	5.41	9.10	33.29
ENSRNOG00000051161_AABR07039195.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000058787_AABR07017649.2	0.02	0.73	0.00	0.09	0.34
ENSRNOG00000058628_Vom1r96	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016379_Jtb	92.70	59.19	71.67	70.45	90.97
ENSRNOG00000042355_Tarbp2	29.86	16.60	21.87	28.44	32.83
ENSRNOG00000051417_AABR07031612.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000012378_Dbnl	43.04	7.01	32.28	40.54	32.32
ENSRNOG00000031208_Mgat1	21.53	4.79	13.51	11.99	22.00
ENSRNOG00000010552_Lamtor3	86.29	86.38	67.56	80.72	76.40
ENSRNOG00000048858_Olr1387	0.00	0.86	0.00	0.00	0.31
ENSRNOG00000059509_AC113837.7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000023226_S100a10	295.46	515.82	361.94	395.58	247.48
ENSRNOG00000023633_Crabp1	0.13	1.19	1.39	4.38	0.57
ENSRNOG00000062077_AABR07049773.1	11.15	0.00	0.00	7.00	0.00
