gene_id	U4-CCD30-1	U2-CCD30-2	U1-cTAL30-1	C2-cTAL30-1	C1-CCD30-1
ENSRNOG00000062121_AABR07020663.2	6.00	0.00	2.00	5.00	13.00
ENSRNOG00000051891_LOC100912564	1.00	4.00	2.00	2.00	6.00
ENSRNOG00000029233_Olr30	0.00	0.00	0.00	0.00	4.00
ENSRNOG00000050968_Ptger2	2.00	1.00	2.00	5.00	0.00
ENSRNOG00000033694_Klf16	39.00	19.00	25.00	16.00	29.00
ENSRNOG00000008516_AABR07049516.1	0.00	0.00	0.00	0.50	0.00
ENSRNOG00000060132_LOC102551575	0.00	0.00	1.00	2.00	1.00
ENSRNOG00000008800_Olr1621	0.00	1.00	2.00	0.00	0.00
ENSRNOG00000053068_AABR07062544.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000049142_Hdgfl2	797.00	111.00	634.00	632.00	357.00
ENSRNOG00000000922_Sumf2	818.00	397.00	813.00	719.00	634.00
ENSRNOG00000046999_Olr159	0.00	1.00	0.00	0.00	0.00
ENSRNOG00000054371_Prkcg	9.00	0.00	24.00	16.00	13.00
ENSRNOG00000052088_AABR07029768.1	0.00	16.00	0.00	2.00	0.00
ENSRNOG00000000161_Chm	422.00	141.00	580.00	347.00	290.00
ENSRNOG00000027728_Ibtk	558.00	75.00	389.00	474.00	422.00
ENSRNOG00000057995_LOC102556051	0.00	0.00	4.00	1.00	0.00
ENSRNOG00000018886_Prxl2c	28.00	4.00	6.00	11.00	36.00
ENSRNOG00000059766_Mir201	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056371_Pik3ca	372.20	772.00	538.09	383.27	391.88
ENSRNOG00000004870_Dyrk3	19.00	2.00	5.00	7.00	60.00
ENSRNOG00000061612_Zfp184	122.00	84.00	125.00	70.00	109.00
ENSRNOG00000053620_AABR07051069.1	0.00	2.00	0.00	0.00	0.00
ENSRNOG00000015844_Snrpd2	618.57	1954.53	545.56	431.37	586.65
ENSRNOG00000014483_Ino80	70.00	33.00	115.00	61.00	166.00
ENSRNOG00000007894_Mpdz	106.00	56.00	220.00	270.00	99.00
ENSRNOG00000013078_Zcchc7	641.00	318.00	330.00	311.00	460.00
ENSRNOG00000054184_U2	0.50	4.00	0.00	0.00	1.00
ENSRNOG00000004453_AABR07057250.1	0.00	2.00	0.00	0.00	2.17
ENSRNOG00000050219_AABR07003935.11	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054115_SNORA70	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061587_Metap1d	153.00	132.00	144.00	130.00	173.00
ENSRNOG00000056129_LOC102554659	1.57	0.00	0.00	2.83	0.00
ENSRNOG00000061745_7SK	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061108_Arcn1	6385.00	1279.00	5194.00	5105.00	4388.00
ENSRNOG00000056902_AABR07054119.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016659_Habp2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051776_AABR07053412.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007509_Slc1a6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000031927_Klk6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020321_Nop9	193.00	64.00	48.00	30.00	309.00
ENSRNOG00000049147_AABR07067099.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000036504_AABR07064349.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061674_AABR07006763.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000013532_Pgam2	775.00	410.00	14.00	8.00	400.00
ENSRNOG00000027606_Neurl1b	2.00	0.00	1.00	0.00	2.00
ENSRNOG00000058471_AABR07014897.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000023410_Apol9a	35.00	5.00	60.00	28.00	15.00
ENSRNOG00000004262_LOC102546716	23.69	8.89	7.40	12.90	35.24
ENSRNOG00000038905_AABR07048397.1	122.72	34.38	80.30	30.75	30.79
ENSRNOG00000003622_Cybb	193.00	31.00	1175.00	450.00	97.00
ENSRNOG00000018952_Sema3g	1.00	0.00	0.00	4.00	0.00
ENSRNOG00000012812_Sharpin	955.00	682.00	570.00	730.00	1196.00
ENSRNOG00000053053_AABR07032759.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051846_U7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000005107_Recql5	298.00	109.00	269.00	232.00	185.00
ENSRNOG00000043344_Cyp4f40	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052213_AABR07063940.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000012419_Zscan29	13.00	5.00	38.00	41.00	14.00
ENSRNOG00000062261_AC111804.2	0.00	4.00	0.00	0.00	0.00
ENSRNOG00000018271_Scamp4	2006.00	721.00	1294.00	1421.00	1669.00
ENSRNOG00000059920_AC135285.3	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051421_AABR07031604.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000046769_Mms19	635.00	88.00	589.00	490.00	487.00
ENSRNOG00000020982_LOC687780	1313.09	3867.51	1308.52	1036.15	1277.35
ENSRNOG00000012962_Nudt16	799.00	402.00	138.00	191.00	662.00
ENSRNOG00000051161_AABR07039195.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000058787_AABR07017649.2	1.00	58.88	0.00	5.00	17.70
ENSRNOG00000058628_Vom1r96	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016379_Jtb	1877.73	1616.52	1600.96	1295.86	1589.49
ENSRNOG00000042355_Tarbp2	629.00	471.00	508.00	544.00	596.00
ENSRNOG00000051417_AABR07031612.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000012378_Dbnl	1579.00	343.00	1303.00	1350.00	1011.00
ENSRNOG00000031208_Mgat1	896.00	264.00	618.00	454.00	780.00
ENSRNOG00000010552_Lamtor3	1397.00	1898.00	1208.00	1187.00	1074.00
ENSRNOG00000048858_Olr1387	0.00	13.00	0.00	0.00	3.00
ENSRNOG00000059509_AC113837.7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000023226_S100a10	1244.00	3206.00	1713.00	1519.00	989.00
ENSRNOG00000023633_Crabp1	1.00	13.00	12.00	31.00	4.00
ENSRNOG00000062077_AABR07049773.1	2.06	0.00	0.00	1.21	0.00
ENSRNOG00000030954_Fat1	503.00	334.00	828.00	574.00	570.00
ENSRNOG00000007084_Marchf10	20.00	40.00	0.00	3.00	15.00
ENSRNOG00000057129_AABR07049033.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056377_SNORD42	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000021134_Anxa9	350.00	95.00	2.00	1.00	279.00
ENSRNOG00000053802_AABR07058899.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000053918_SNORD116	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000010363_Mrps23	1241.00	2596.00	1690.00	1319.00	1059.00
ENSRNOG00000051236_AABR07038801.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000059585_LOC103692343	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000017843_Polr3k	1408.00	1755.00	1186.00	1245.00	1294.00
ENSRNOG00000004647_Il10	0.00	0.00	2.00	0.00	0.00
ENSRNOG00000046681_AABR07017769.1	0.00	5.79	0.00	1.50	2.50
ENSRNOG00000061728_AABR07072528.4	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042277_AABR07016578.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000002345_Rasgef1b	26.00	0.00	4.00	2.00	16.00
ENSRNOG00000053472_AABR07071487.1	4.64	0.00	4.08	0.00	3.06
ENSRNOG00000059889_AC120291.4	0.00	0.00	0.00	4.00	0.00
ENSRNOG00000054270_AABR07017604.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052730_Psmb3	4618.00	9445.00	3206.00	3409.00	3784.00
ENSRNOG00000057703_Cabp7	1.03	3.13	2.06	0.00	5.21
ENSRNOG00000054723_AABR07058174.1	0.00	2.00	0.00	0.00	0.00
ENSRNOG00000053512_AABR07005790.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000031707_Tuba3a	0.00	0.00	2.00	2.00	4.00
ENSRNOG00000061180_AABR07026377.1	3.01	11.00	0.00	14.00	12.09
ENSRNOG00000058819_AABR07056767.1	0.00	7.00	6.00	6.00	6.00
ENSRNOG00000057642_U7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056769_AABR07012040.1	0.00	0.00	0.00	2.00	0.00
ENSRNOG00000055815_AABR07044790.1	0.00	0.00	1.00	0.00	0.00
ENSRNOG00000055368_Olr806	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000059262_AABR07024786.1	0.00	0.00	0.00	1.00	10.00
ENSRNOG00000021916_Slc16a12	218.00	17.00	4362.00	3933.00	156.00
ENSRNOG00000055091_Y_RNA	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052345_AABR07061453.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000004201_Rims2	30.00	53.00	29.00	36.00	26.00
ENSRNOG00000047453_Casd1	65.00	9.00	47.00	64.00	110.00
ENSRNOG00000059982_LOC100910599	0.00	3.00	0.00	0.00	0.00
ENSRNOG00000016029_Rb1	151.00	18.00	156.00	102.00	190.00
ENSRNOG00000049545_AABR07065631.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061827_AC120938.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061583_AABR07030690.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052039_AABR07044388.3	1.00	0.00	7.00	4.00	1.00
ENSRNOG00000056985_U4	1.00	1.27	0.00	0.00	1.00
ENSRNOG00000049010_AABR07007399.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000019228_Pik3r2	662.00	89.00	142.00	208.00	437.00
ENSRNOG00000029158_LOC100362173	0.00	0.00	0.00	0.00	3.00
ENSRNOG00000017983_Ubac1	2106.00	1426.00	1472.00	1601.00	1720.00
ENSRNOG00000029461_AABR07072400.1	5.23	12.58	0.00	9.23	10.77
ENSRNOG00000049112	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051074_AABR07048422.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000047359_Olr161	0.00	2.00	1.00	0.00	6.00
ENSRNOG00000015865_Ap2s1	925.00	2197.00	536.00	617.00	1016.00
